,Power Plant Name,State,ID No.,Lat,Lon,Lat-Lon
0,Bankhead Dam,Alabama,2,33.458665,-87.356823,"33.458665,-87.356823"
1,Barry,Alabama,3,31.0069,-88.0103,"31.0069,-88.0103"
2,Walter Bouldin Dam,Alabama,4,32.583889,-86.283056,"32.583889,-86.283056"
3,Gadsden,Alabama,7,34.0128,-85.9708,"34.0128,-85.9708"
4,Gorgas,Alabama,8,33.644344,-87.196486,"33.644344,-87.196486"
5,Greene County,Alabama,10,32.6017,-87.7811,"32.6017,-87.7811"
6,H Neely Henry Dam,Alabama,11,33.7845,-86.0524,"33.7845,-86.0524"
7,Holt Dam,Alabama,12,33.2553,-87.4495,"33.2553,-87.4495"
8,Jordan Dam,Alabama,13,32.6189,-86.2548,"32.6189,-86.2548"
9,Logan Martin Dam,Alabama,14,33.425878,-86.337547,"33.425878,-86.337547"
10,Lay Dam,Alabama,15,32.9633,-86.5187,"32.9633,-86.5187"
11,Martin Dam,Alabama,16,32.680394,-85.911442,"32.680394,-85.911442"
12,Mitchell Dam,Alabama,17,32.806025,-86.444892,"32.806025,-86.444892"
13,Lewis Smith Dam,Alabama,18,33.9406,-87.1077,"33.9406,-87.1077"
14,Thurlow Dam,Alabama,19,32.535436,-85.887614,"32.535436,-85.887614"
15,Weiss Dam,Alabama,20,34.172142,-85.753806,"34.172142,-85.753806"
16,Yates Dam,Alabama,21,32.5743,-85.8901,"32.5743,-85.8901"
17,E C Gaston,Alabama,26,33.244211,-86.458056,"33.244211,-86.458056"
18,Millers Ferry,Alabama,38,32.100881,-87.399767,"32.100881,-87.399767"
19,Browns Ferry,Alabama,46,34.7042,-87.1189,"34.7042,-87.1189"
20,Colbert,Alabama,47,34.7439,-87.8486,"34.7439,-87.8486"
21,Guntersville,Alabama,48,34.421272,-86.393931,"34.421272,-86.393931"
22,Wheeler Dam,Alabama,49,34.8069,-87.3819,"34.8069,-87.3819"
23,Widows Creek,Alabama,50,34.883022,-85.755253,"34.883022,-85.755253"
24,Gantt,Alabama,53,31.4033,-86.479469,"31.4033,-86.479469"
25,Point A,Alabama,55,31.361146,-86.518307,"31.361146,-86.518307"
26,Lowman Energy Center,Alabama,56,31.488019,-87.910747,"31.488019,-87.910747"
27,McWilliams,Alabama,533,31.400255,-86.476449,"31.400255,-86.476449"
28,Bartletts Ferry,Alabama,702,32.661976,-85.091552,"32.661976,-85.091552"
29,Goat Rock,Alabama,707,32.60965,-85.0805,"32.60965,-85.0805"
30,Langdale,Alabama,711,32.813836,-85.167786,"32.813836,-85.167786"
31,Joseph M Farley,Alabama,6001,31.2231,-85.1116,"31.2231,-85.1116"
32,James H Miller Jr,Alabama,6002,33.6319,-87.0597,"33.6319,-87.0597"
33,Jones Bluff,Alabama,6131,32.324242,-86.784319,"32.324242,-86.784319"
34,Bellefonte,Alabama,6150,34.7092,-85.9278,"34.7092,-85.9278"
35,Harris Dam,Alabama,6188,33.258281,-85.616047,"33.258281,-85.616047"
36,Wilson Dam,Alabama,6440,34.79782,-87.62537,"34.79782,-87.62537"
37,McIntosh (AL),Alabama,7063,31.2546,-88.0299,"31.2546,-88.0299"
38,Washington County Cogeneration Facility,Alabama,7697,31.2504,-88.0156,"31.2504,-88.0156"
39,General Electric Plastic,Alabama,7698,32.310226,-86.52542,"32.310226,-86.52542"
40,H Allen Franklin Combined Cycle,Alabama,7710,32.6078,-85.0975,"32.6078,-85.0975"
41,Theodore Cogen Facility,Alabama,7721,30.525445,-88.128477,"30.525445,-88.128477"
42,E B Harris Electric Generating Plant,Alabama,7897,32.381352,-86.574366,"32.381352,-86.574366"
43,Albertville,Alabama,7924,34.363389,-86.223889,"34.363389,-86.223889"
44,Alabama River Pulp,Alabama,10216,31.5825,-87.4889,"31.5825,-87.4889"
45,Georgia-Pacific Consr Prods LP-Naheola,Alabama,10699,32.2268,-88.0252,"32.2268,-88.0252"
46,International Paper Courtland Mill,Alabama,50245,34.735,-87.3108,"34.735,-87.3108"
47,Sloss Industries Corp,Alabama,50359,33.568164,-86.79873,"33.568164,-86.79873"
48,Mobile Energy Services LLC,Alabama,50407,30.736487,-88.051643,"30.736487,-88.051643"
49,Big Escambia Creek,Alabama,50724,31.070589,-87.362778,"31.070589,-87.362778"
50,Flomaton Treating Facility,Alabama,50727,31.026667,87.249444,"31.026667,87.249444"
51,Fairfield Works,Alabama,50730,33.4885,-86.9212,"33.4885,-86.9212"
52,International Paper Prattville Mill,Alabama,52140,32.4187,-86.4718,"32.4187,-86.4718"
53,International Paper Riverdale Mill,Alabama,54096,32.426016,-86.870912,"32.426016,-86.870912"
54,U S Alliance Coosa Pines,Alabama,54216,33.328107,-86.356825,"33.328107,-86.356825"
55,Alabama Pine Pulp,Alabama,54429,31.5825,-87.4889,"31.5825,-87.4889"
56,Chunchula Plant 1,Alabama,54441,30.945833,88.178889,"30.945833,88.178889"
57,W&T Onshore Treating Facility (OTF),Alabama,54550,30.43203,-88.18241,"30.43203,-88.18241"
58,Yellowhammer Gas Plant,Alabama,54730,30.403538,-88.12833,"30.403538,-88.12833"
59,District 100 Transco Gas Pipe Line,Alabama,54743,32.668889,86.72,"32.668889,86.72"
60,M C Dixon Lumber,Alabama,54745,31.89738,-85.151596,"31.89738,-85.151596"
61,International Paper Pine Hill Mill,Alabama,54752,31.9698,-87.4806,"31.9698,-87.4806"
62,WestRock Demopolis Mill,Alabama,54763,32.4541,-87.9759,"32.4541,-87.9759"
63,Georgia-Pacific Brewton Mill,Alabama,54789,31.077,-87.1116,"31.077,-87.1116"
64,Mead Coated Board,Alabama,54802,32.1761,-85.0272,"32.1761,-85.0272"
65,Mary Ann Gas Plant,Alabama,54806,30.395,-87.836667,"30.395,-87.836667"
66,Crestwood Dothan,Alabama,54985,31.262356,-85.402737,"31.262356,-85.402737"
67,Packaging Corporation of America Jackson Mill,Alabama,55044,31.4894,-87.8989,"31.4894,-87.8989"
68,Walton Discover Power Facility,Alabama,55138,32.54098,-85.038879,"32.54098,-85.038879"
69,Hog Bayou Energy Center,Alabama,55241,30.7478,-88.0575,"30.7478,-88.0575"
70,Tenaska Lindsay Hill Generating Station,Alabama,55271,32.6514,-86.7386,"32.6514,-86.7386"
71,Decatur Energy Center,Alabama,55292,34.6292,-87.0214,"34.6292,-87.0214"
72,Morgan Energy Center,Alabama,55293,34.6397,-87.0639,"34.6397,-87.0639"
73,Calhoun Energy Center,Alabama,55409,33.5883,-85.9731,"33.5883,-85.9731"
74,Hillabee Energy Center,Alabama,55411,33.000669,-85.903278,"33.000669,-85.903278"
