,latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km,distance,state,total_cap
13376,30.27,-86.81,3.1914,16.96109694,0.290513009,7.0338573460000005,16.01844805,-25.54568481,16.48610352,239.30950348152714,Alabama,167753636.69777688
13414,30.178,-86.821,70.0407,372.2401148,0.292507261,7.052663326,16.01844805,-32.42164993,21.97240039,249.54626407048892,Alabama,46076602.20302598
13413,30.186999999999998,-86.936,90.7605,482.35809950000004,0.29319489,7.06160593,16.01844805,-29.53476143,20.86258594,250.96735941697955,Alabama,124865291.29226026
13412,30.195999999999998,-87.05,53.5896,284.8086735,0.294126987,7.071297169,16.01844805,-28.62439537,20.14391016,252.82979036862955,Alabama,90291436.43861826
13411,30.204,-87.164,19.2375,102.24011479999999,0.29436782,7.079415321,5.5,-27.83284187,19.37864453,255.24762551946372,Alabama,2169660.542426783
13410,30.213,-87.279,0.5670000000000001,3.013392857,0.293787062,7.07771349,18.03792206,-26.0,18.68898828,258.03046203741167,Alabama,21424104.1425161
13470,30.087,-86.83200000000001,81.4941,433.11065049999996,0.294338465,7.068894386,16.01844805,-89.96282959,32.38684961,259.6779421158659,Alabama,6745340.19285
13469,30.096,-86.947,112.7844,599.4068877999999,0.294957727,7.078445911,16.01844805,-66.70223999,30.16313867,261.05103690705965,Alabama,70482973.51362604
13468,30.104,-87.061,112.7844,599.4068877999999,0.29541111,7.087307452999999,16.01844805,-31.65742683,27.72542773,262.9561584441248,Alabama,85692056.8902434
13409,30.23,-87.508,0.4131,2.195471939,0.28759697100000003,7.013725281,18.03792206,-12.6078434,6.156937012,264.93180450217915,Alabama,6867655.801031544
13467,30.113000000000003,-87.175,112.7844,599.4068877999999,0.295488536,7.09374094,18.03792206,-29.01659012,25.30694141,265.18735456254825,Alabama,64325580.78592466
13466,30.121,-87.289,31.0068,164.7895408,0.29494941199999997,7.093533516,18.03792206,-26.67058563,22.97579297,267.94609770315157,Alabama,343653457.002518
13408,30.238000000000003,-87.62200000000001,0.2835,1.506696429,0.286689311,7.009999752000001,26.17035713,-11.34285736,6.643307129,269.0074350127393,Alabama,767005781.1995679
13530,29.995,-86.844,92.7126,492.7327806,0.295174748,7.076062202,16.01844805,-126.3532257,42.82773828,269.940452988985,Alabama,1151953562.0428665
13465,30.13,-87.404,78.6105,417.78539539999997,0.294929177,7.096148968,18.03792206,-24.64131927,21.24053125,271.04642679767056,Alabama,33117996.104120057
13529,30.004,-86.958,112.7844,599.4068877999999,0.29573607399999996,7.086616516,16.01844805,-112.52333829999999,40.49876172,271.2500679649725,Alabama,17295722.00034071
13528,30.013,-87.072,112.7844,599.4068877999999,0.296308339,7.0984182360000005,16.01844805,-51.89363861,38.06113672,272.9875535234872,Alabama,21405551.09680379
13464,30.138,-87.51799999999999,61.9164,329.0625,0.295321316,7.108105659,18.03792206,-24.86499214,18.37719727,274.6110534230458,Alabama,470532.8436610209
13527,30.021,-87.186,111.5451,592.8204718999999,0.29619801,7.099999427999999,18.03792206,-33.9260025,35.66747266,275.25067704793685,Alabama,111162129.8939365
