State,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Alabama,127429936.3,125501799.3,142679432.8,132756343.3,139964250.1,142863240.2,151946365.8,149212677,150572923.9,152878687.7,156339209.8,152150512.1,143255555.6,145869895.2,143826270.8,140895441.3,136231048.9,136472644.4,120449768.6,132750875.9,124549027.4
Alaska,1073513.78,6155700.44,6068242.19,6232503.16,6497465.6,6333820.507,5639541.735,6045142.629,6496588.642,6928294.496,6853178.05,6742697.821,6702159.389,6765932.402,6807677.618,6660197.772,6563160.543,6512071.862,6020507.051,6271286.228,5650934.888
Arizona,98344572.55,109305056.9,110387411.3,105461287,105780513,108615392.7,106969908.1,110498116,113325986.1,110614112.4,108123281.1,111750756.6,111971250.3,119459172.4,113340970.3,104392528.3,101465936.1,96306240.29,86426785.41,91746797.59,89474303.12
Arkansas,52343394.03,54641258.66,57108192.87,67999351.52,60772688.78,60445059.37,44890704.25,61592136.66,60322492.14,65005677.98,61307535.89,60994581.54,57457739.03,55050527.83,54596235.56,52168702.98,47794508.85,50782616.52,45469386.25,47611644.16,47166207.98
California,150496270.2,192510261.5,201729741.9,192058057.8,205404335.1,197323508.2,187259529.5,196340533.5,200203986.2,198697921.8,199796770,204112685.6,204767739.7,207984262.8,208682161.7,216753382.2,199635775.9,192570458.5,170931503.4,184115807.8,196393037.3
Colorado,50541999.94,50613691.8,56329988.06,55375731.61,53798961.61,54376519,52345590.59,53840163.95,52937435.91,52528329.81,49404295.69,50719568.24,50405636.6,53441593.56,53697131.13,50439406.5,49335750.33,47532208.87,44498895.53,45702382.78,45633713.1
Connecticut,42109606.94,41190572.49,40050037.93,39435813.5,34562653.9,36495462.91,29907393.68,33568170.41,35601447.32,35550729.4,33714339.14,33332818.31,31206222.03,30409472.64,33164459.23,34681736.18,33549746.78,32061057.25,26810820.67,31305578.96,30468126.01
Delaware,3681350,5205372,5258538.01,6240643.9,7495976.27,8731260.55,7224359.56,7598247.38,7651808,8633694,6590194.8,5627645,4841562.861,7523838.622,8534163.255,7182179.368,8136568.08,7140371.305,4152904.999,6002489.626,6688256.527
District of Columbia,111518.68,174520.62,174080.04,56561,66871,76474,53750,67612.16,65852.08,71786.78,200873.96,199858,35499,72316,75251,81467,226042,36487,20272,261980,123239
Florida,218674997,250425072.2,231280305.6,234029234,225106008.1,237640010,187667986.2,229697456.2,222398924,221096136,205435040.7,229095934.8,217952308.4,219636818.2,225415147.1,223750029.5,219155335.3,212784280.7,166802555.2,203163605.9,190707076.3
Georgia,111516729.9,113016477.7,126776416.3,129202561.1,127293995.7,132902273.7,117773350,125546746.9,120953734.3,122012384.8,123899462.2,137576941.3,128698376.4,136173395.3,144554411.8,138010207.9,136267680.9,126530557.6,114039333.4,126602818.9,117690031.2
Hawaii,8195960.48,8965472.4,9749998.08,9796772.9,9754084,9948845.048,8477453.494,10054924.25,10267052.27,10469268.67,7261735.906,10836035.97,11010532.89,11376385.08,11533349.58,11559173.66,11522805.35,9872308.99,10516478.11,11663069.14,10567006
Idaho,3163328,17636957.58,18384353.91,18172119.67,17396023.56,15660938.38,15601713.79,14052712.11,15183603.78,15499089.31,16568785.9,12024564.1,13100151.85,11966095.78,11484090.63,13386085.25,10824983.85,10734410.66,8659837.993,10765784.14,10228812.88
Illinois,160359384.7,172715762.1,184292980,187980297.4,183229260.8,187284878.5,193342783.9,202131347.3,203004918.5,197243603.3,199478978.7,201351871.6,193864357.3,199475177.6,186774174.2,192366235,194076303.1,191770043.2,180495171.4,188189822.2,179001258.9
Indiana,80228334.37,90066242.38,98511485.48,113353862.7,98929818.48,101759059,99761027.84,115032436.1,110403477.1,114602584.3,120609126.1,125176558,116670279.9,129510294,130637998.5,130489787.7,130289177.9,126577605.5,100834269.1,125318993,122522381.3
Iowa,51886424.83,56731808.46,63257072.87,60745186.69,57912280.14,54396530.5,56477551.13,56846168.27,56670754.92,56520869.29,56262798.16,57506610.59,51850633.55,53087518.36,49790354.96,45484271.38,43971567.9,43142104.77,39613981.54,42524016.68,40366210.66
Kansas,48870906.12,54541831.46,50887991.73,50750372.19,50924652.41,47599990.57,45527104.66,49610586.15,48472581.3,43369446.42,44601480.3,47789901.24,46677307.55,46431837.37,50122195.72,45523736.31,45862695.87,32973638.33,43112540.43,47127698.91,44714225
