,latitude,longitude,labels
0,49.028,-123.286,5
1,49.054,-123.138,5
2,48.942,-123.242,5
3,48.993,-122.948,5
4,48.855,-123.199,5
5,48.881,-123.052,5
6,48.344,-125.485,5
7,48.371,-125.34,5
8,48.399,-125.196,5
9,48.794,-123.009,5
10,48.119,-126.158,5
11,48.147,-126.014,5
12,48.175,-125.871,5
13,48.203,-125.727,5
14,48.657,-123.259,5
15,48.682,-123.113,5
16,48.707,-122.966,5
17,47.919,-126.683,5
18,47.948,-126.54,5
19,47.976,-126.397,5
20,48.005,-126.254,5
21,48.033,-126.111,5
22,48.061,-125.967,5
23,48.089,-125.824,5
24,48.117,-125.68,5
25,47.748,-127.062,5
26,47.777,-126.92,5
27,47.805,-126.778,5
28,47.834,-126.635,5
29,47.863,-126.493,5
30,47.891,-126.35,5
31,47.919,-126.207,5
32,47.947,-126.064,5
33,47.975,-125.921,5
34,48.003,-125.777,5
35,48.031,-125.634,5
36,48.059,-125.49,5
37,48.484,-123.173,5
38,48.534,-122.881,5
39,48.559,-122.734,5
40,47.545,-127.581,5
41,47.575,-127.44,5
42,47.604,-127.298,5
43,47.633,-127.156,5
44,47.662,-127.014,5
45,47.691,-126.872,5
46,47.72,-126.73,5
47,47.749,-126.588,5
48,47.777,-126.445,5
49,47.805,-126.303,5
50,47.834,-126.16,5
51,47.862,-126.017,5
52,47.89,-125.874,5
53,47.918,-125.731,5
54,47.945,-125.587,5
55,47.973,-125.444,5
56,48.372,-123.275,5
57,48.397,-123.13,5
58,47.401,-127.814,5
59,47.431,-127.673,5
60,47.46,-127.532,5
61,47.49,-127.391,5
62,47.519,-127.249,5
63,47.548,-127.108,5
64,47.577,-126.966,5
65,47.606,-126.824,5
66,47.635,-126.682,5
67,47.663,-126.54,5
68,47.692,-126.398,5
69,47.72,-126.255,5
70,47.748,-126.113,5
71,47.776,-125.97,5
72,47.804,-125.827,5
73,47.832,-125.684,5
74,47.86,-125.541,5
75,47.887,-125.398,5
76,47.915,-125.254,5
77,48.234,-123.523,5
78,48.259,-123.378,5
79,48.285,-123.232,5
80,47.227,-128.187,5
81,47.257,-128.046,5
82,47.287,-127.906,5
83,47.316,-127.765,5
84,47.346,-127.624,5
85,47.375,-127.483,5
86,47.405,-127.342,5
87,47.434,-127.201,5
88,47.463,-127.06,5
89,47.492,-126.918,5
90,47.52,-126.776,5
91,47.549,-126.635,5
92,47.578,-126.493,5
93,47.606,-126.351,5
94,47.634,-126.208,5
95,47.663,-126.066,5
96,47.691,-125.923,5
97,47.718,-125.781,5
98,47.746,-125.638,5
99,47.774,-125.495,5
100,47.801,-125.352,5
101,47.829,-125.209,5
102,47.856,-125.065,5
103,47.082,-128.417,5
104,47.112,-128.277,5
105,47.142,-128.137,5
106,47.172,-127.997,5
107,47.202,-127.857,5
108,47.231,-127.716,5
109,47.261,-127.576,5
110,47.29,-127.435,5
111,47.319,-127.294,5
112,47.349,-127.153,5
113,47.378,-127.012,5
114,47.406,-126.87,5
115,47.435,-126.729,5
116,47.464,-126.587,5
117,47.492,-126.445,5
118,47.521,-126.304,5
119,47.549,-126.161,5
120,47.577,-126.019,5
121,47.605,-125.877,5
122,47.633,-125.735,5
123,47.661,-125.592,5
124,47.688,-125.449,5
125,47.716,-125.306,5
126,47.743,-125.163,5
127,47.77,-125.02,5
128,46.906,-128.786,5
129,46.937,-128.647,5
130,46.967,-128.507,5
131,46.997,-128.368,5
132,47.027,-128.228,5
133,47.057,-128.088,5
134,47.087,-127.948,5
135,47.117,-127.808,5
136,47.146,-127.667,5
137,47.176,-127.527,5
138,47.205,-127.386,5
139,47.234,-127.246,5
140,47.263,-127.105,5
141,47.292,-126.964,5
142,47.321,-126.823,5
143,47.35,-126.681,5
144,47.378,-126.54,5
145,47.407,-126.398,5
146,47.435,-126.257,5
147,47.463,-126.115,5
148,47.491,-125.973,5
149,47.519,-125.831,5
150,47.547,-125.688,5
151,47.575,-125.546,5
152,47.602,-125.403,5
153,47.63,-125.261,5
154,47.657,-125.118,5
155,46.76,-129.013,5
156,46.791,-128.875,5
157,46.821,-128.736,5
158,46.852,-128.597,5
159,46.882,-128.457,5
160,46.912,-128.318,5
161,46.942,-128.178,5
162,46.972,-128.039,5
163,47.002,-127.899,5
164,47.032,-127.759,5
165,47.061,-127.619,5
166,47.091,-127.479,5
167,47.12,-127.338,5
168,47.149,-127.198,5
169,47.178,-127.057,5
170,47.207,-126.916,5
171,47.236,-126.775,5
172,47.264,-126.634,5
173,47.293,-126.493,5
174,47.321,-126.351,5
175,47.35,-126.21,5
176,47.378,-126.068,5
177,47.406,-125.926,5
178,47.434,-125.784,5
179,47.461,-125.642,5
180,47.489,-125.5,5
181,47.517,-125.358,5
182,47.544,-125.215,5
183,47.571,-125.073,5
184,46.614,-129.24,5
185,46.645,-129.102,5
186,46.676,-128.963,5
187,46.706,-128.825,5
188,46.737,-128.686,5
189,46.767,-128.547,5
190,46.797,-128.408,5
191,46.827,-128.269,5
192,46.857,-128.129,5
193,46.887,-127.99,5
194,46.917,-127.85,5
195,46.947,-127.71,5
196,46.976,-127.57,5
197,47.005,-127.43,5
198,47.035,-127.29,5
199,47.064,-127.15,5
200,47.093,-127.009,5
201,47.122,-126.869,5
