latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
49.028,-123.286,13.0653,69.43718112,0.275788248,6.634215355,31.44152596,-142.2969666,9.739685547
49.054,-123.138,3.6531,19.41485969,0.270920634,6.610088348,31.44152596,-44.68292618,5.595796875
48.942,-123.242,9.7686,51.91645408,0.274557054,6.62566328,31.44152596,-143.0597076,8.74684375
48.993,-122.948,8.0919,43.00542092,0.239673078,6.218548775,31.44152596,-2.659659624,5.346195313
48.855,-123.199,0.1701,0.904017857,0.273974836,6.629999638,31.44152596,-126.1428604,9.316036133
48.881,-123.052,1.6767,8.911033163,0.274454594,6.652513504,31.44152596,-181.3333282,6.145765625
48.344,-125.485,0.3969,2.109375,0.365044624,8.088775635,101.3341687,-137.7755127,47.90380469
48.371,-125.34,4.2039,22.34215561,0.360126466,8.028438568,101.3341687,-118.0558777,41.56067969
48.399,-125.196,5.184,27.55102041,0.355057567,7.96345377,101.3341687,-167.7546844,34.61295703
48.794,-123.009,0.5508,2.927295918,0.267816782,6.597058296,5.5,21.89705849,6.197255371
48.119,-126.158,3.4587,18.38169643,0.399479061,8.519908905,101.8825714,-1385.491821,95.70745313
48.147,-126.014,18.6786,99.26977041,0.395184219,8.467142105,101.8825714,-1280.782715,88.43435938
48.175,-125.871,42.363,225.1434949,0.388897479,8.393233299,101.8825714,-1014.461365,78.58925
48.203,-125.727,64.7271,344.0003189,0.382271588,8.312894821,101.3341687,-580.4631348,69.42697656
48.657,-123.259,3.2238,17.13329082,0.220657736,5.880452156,46.77414931,-35.38944626,6.097491699
48.682,-123.113,1.62,8.609693878,0.229322612,5.999150276,46.77414931,14.14000034,6.351141113
48.707,-122.966,1.7415,9.255420918,0.264013499,6.513860226,46.77414931,37.61395264,5.968595215
47.919,-126.683,0.0243,0.129145408,0.415917188,8.739999771,101.8825714,-2139,134.6591719
47.948,-126.54,5.7834,30.73660714,0.412854314,8.698011398,101.8825714,-2141.745117,126.8249609
47.976,-126.397,30.3183,161.1304209,0.409719557,8.658909798,101.8825714,-1975.110107,118.4915078
48.005,-126.254,72.9243,387.5653699,0.404986769,8.596442223,101.8825714,-1825.595825,107.95
48.033,-126.111,84.8718,451.0618622,0.399954438,8.530045509,101.8825714,-1686.520386,98.23122656
48.061,-125.967,96.957,515.2901786,0.393796742,8.450006485,101.8825714,-1220.446167,87.18665625
48.089,-125.824,112.7844,599.4068878,0.387334675,8.373378754,101.8825714,-828.8530884,77.1830625
48.117,-125.68,84.9204,451.3201531,0.380655855,8.295383453,101.8825714,-343.0827026,67.92534375
47.748,-127.062,10.692,56.82397959,0.425602227,8.867856026,101.8825714,-2507.79541,167.3016719
47.777,-126.92,37.3248,198.3673469,0.423937887,8.845579147,101.8825714,-2440.71582,159.7828906
47.805,-126.778,57.7125,306.7203444,0.420684963,8.802332878,101.8825714,-2274.727783,149.4633125
47.834,-126.635,78.5862,417.65625,0.416827619,8.750107765,101.8825714,-2208.32373,138.8162188
47.863,-126.493,100.278,532.940051,0.412898034,8.698050499,101.8825714,-2182.481445,128.7887578
47.891,-126.35,110.2653,586.0188138,0.408442557,8.641062737,101.8825714,-1857.546509,118.1665234
47.919,-126.207,112.7844,599.4068878,0.403399438,8.573007584,101.8825714,-1819.06604,107.7008594
47.947,-126.064,91.4004,485.7589286,0.39784044,8.501214027,101.8825714,-1624.265503,97.3358125
47.975,-125.921,108.8478,578.4853316,0.391690731,8.423740387,101.8825714,-1453.508545,86.37314063
48.003,-125.777,104.2875,554.2490434,0.385115206,8.341610909,101.8825714,-1050.588623,76.230875
48.031,-125.634,100.9179,536.3408801,0.376991302,8.24902916,101.8825714,-401.901123,65.39403906
48.059,-125.49,0.6642,3.52997449,0.371490151,8.18219471,101.8825714,-161.9390259,59.73267578
48.484,-123.173,0.4536,2.410714286,0.247650012,6.360000134,46.77414931,-80.5357132,5.580226563
48.534,-122.881,0.0081,0.043048469,0.258264363,6.489999771,19.10512986,10,4.867494141
48.559,-122.734,0.2754,1.463647959,0.250179172,6.356470108,5.5,-1,5.244725586
47.545,-127.581,0.3402,1.808035714,0.43352133,8.980000496,101.8825714,-2621.452393,207.0645938
47.575,-127.44,18.5328,98.49489796,0.432083219,8.962936401,101.8825714,-2602.705322,199.893625
47.604,-127.298,47.3769,251.7904974,0.430281967,8.938280106,101.8825714,-2578.842773,190.04225
47.633,-127.156,87.6096,465.6122449,0.428273678,8.909550667,101.8825714,-2553.471191,180.1030469
47.662,-127.014,100.278,532.940051,0.42581141,8.871851921,101.8825714,-2500.5271,169.8587344
47.691,-126.872,100.4967,534.1023597,0.422743887,8.827558517,101.8825714,-2416.667725,159.2764688
47.72,-126.73,110.2977,586.1910077,0.419162184,8.779172897,101.8825714,-2336.0979,148.6291094
47.749,-126.588,112.7844,599.4068878,0.415369391,8.727549553,101.8825714,-2257.833496,138.165125
47.777,-126.445,112.7844,599.4068878,0.410981923,8.668035507,101.8825714,-2257.958008,127.6051328
47.805,-126.303,112.7844,599.4068878,0.406337053,8.608864784,101.8825714,-1845.16333,117.05075
47.834,-126.16,102.9024,546.8877551,0.401477039,8.545320511,101.8825714,-1701.456177,106.9011016
47.862,-126.017,91.4733,486.1463648,0.395769328,8.471639633,101.8825714,-1702.44397,96.00316406
